   QH        QK        QL        EMIN     EMAX       I1       EN1        sigma1    I2       EN2        sigma2    I3        EN3       sigma3
   2.5000    3.0000   -0.5000    5.2000   30.0000    9.3524   16.0433    0.5735    3.7113   21.0339    1.4874    0.0000    0.0000    0.0000 
   2.5000    3.0000   -0.4000    5.2000   30.0000    6.5941   16.0876    0.6212    4.3399   20.3465    1.3585    0.0000    0.0000    0.0000 
   2.5000    3.0000   -0.3000    5.2000   30.0000    6.9118   17.3900    0.7794    4.1783   21.9125    1.4334    0.0000    0.0000    0.0000 
   2.5000    3.0000   -0.2000    5.2000   30.0000    8.9216   19.4774    1.0057    3.1868   25.1465    0.7723    0.0000    0.0000    0.0000 
   2.5000    3.0000   -0.1000    5.2000   30.0000    7.5449   19.7014    0.7319    6.2257   21.0623    0.2121    4.6568   24.5737    0.9411 
   2.5000    3.0000    0.0000    5.2000   30.0000   18.2375   20.7354    0.4104    7.7169   23.2687    1.5576    0.0000    0.0000    0.0000 
   2.6000    3.0000    0.0000    5.2000   30.0000   14.2729   20.3467    0.4433    3.1222   23.9917    1.5490    0.0000    0.0000    0.0000 
   2.7000    3.0000    0.0000    5.2000   30.0000   12.7465   20.5996    0.4518    2.5627   25.4747    0.9310    0.0000    0.0000    0.0000 
   2.8000    3.0000    0.0000    5.2000   30.0000    6.3393   19.0063    2.2137    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   3.0000    2.7000    0.0000    5.2000   30.0000    3.2506   19.7143    2.9371    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   3.0000    2.6000    0.0000    5.2000   30.0000    3.3714   20.2898    1.0869    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   3.0000    2.5000    0.0000    5.2000   30.0000    2.4440   22.4639    1.2026    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   2.9000    2.5000    0.0000    5.2000   30.0000    3.3411   23.8831    1.3250    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   2.8000    2.5000    0.0000    5.2000   30.0000    4.3545   23.4852    1.4152    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   2.7000    2.5000    0.0000    5.2000   30.0000    1.6816   14.4505    0.5351    6.6771   21.5656    1.1971    0.0000    0.0000    0.0000 
   2.6000    2.5000    0.0000    5.2000   30.0000    7.6894   17.5268    1.3713    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   2.5000    2.5000    0.0000    5.2000   30.0000   18.8436   15.0565    0.5405    4.0453   18.4435    0.3892    0.0000    0.0000    0.0000 
   2.5500    2.5500    0.0000    5.2000   30.0000   11.5851   15.3730    0.5963    5.5480   17.6807    1.0383    0.0000    0.0000    0.0000 
   2.6000    2.6000    0.0000    5.2000   30.0000   12.6473   17.3458    1.2125    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   2.6500    2.6500    0.0000    5.2000   30.0000    8.7490   18.3598    1.0231    3.4694   20.5806    0.3281    0.0000    0.0000    0.0000 
   2.7000    2.7000    0.0000    5.2000   30.0000    9.5600   20.1034    0.8547    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   2.7500    2.7500    0.0000    5.2000   30.0000    8.0099   20.2492    0.6675    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   2.8000    2.8000    0.0000    5.2000   30.0000    5.9433   20.2280    1.3762    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   2.8500    2.8500    0.0000    5.2000   30.0000    3.5972   18.6850    0.8892    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   2.9000    2.9000    0.0000    5.2000   30.0000    1.7023   15.3365    0.8511    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   2.8000    2.8000   -0.2000    5.2000   30.0000    4.3924   19.3300    0.5399    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   2.7000    2.7000   -0.3000    5.2000   30.0000    3.0878   17.2637    1.9492    2.4827   19.1117    0.7000    0.0000    0.0000    0.0000 
   2.6000    2.6000   -0.4000    5.2000   30.0000    6.5122   10.2842    2.1695    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   2.5000    2.5000   -0.5000    5.2000   30.0000   16.7404    5.2124    1.2783    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   2.5000    2.5000   -0.4000    5.2000   30.0000   12.6726    6.1951    1.5025    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   2.5000    2.5000   -0.3000    5.2000   30.0000   11.3797    8.3133    1.7624    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000 
   2.5000    2.5000   -0.2000    5.2000   30.0000    9.3638   11.8183    1.6539    3.3119   14.0681    0.3809    0.0000    0.0000    0.0000 
   2.5000    2.5000   -0.1000    5.2000   30.0000   10.3889   14.3142    1.0978    6.7813   14.8317    0.2729    0.0000    0.0000    0.0000 
   2.5000    2.5000    0.0000    5.2000   30.0000   18.8436   15.0565    0.5405    4.0453   18.4435    0.3892    0.0000    0.0000    0.0000 
